match,team,opponent,team_score,opponent_score,result
Osasuna_Sevilla,Osasuna,Sevilla,3.0,2.0,win
Sevilla_Osasuna,Sevilla,Osasuna,2.0,3.0,loss
Sevilla_Osasuna,Sevilla,Osasuna,2.0,3.0,loss
Osasuna_Sevilla,Osasuna,Sevilla,3.0,2.0,win
CeltaVigo_Espanyol,CeltaVigo,Espanyol,2.0,3.0,draw
Espanyol_CeltaVigo,Espanyol,CeltaVigo,3.0,2.0,draw
Espanyol_CeltaVigo,Espanyol,CeltaVigo,3.0,2.0,draw
CeltaVigo_Espanyol,CeltaVigo,Espanyol,2.0,3.0,draw
RealValladolid_Villarreal,RealValladolid,Villarreal,0.0,4.0,loss
Villarreal_RealValladolid,Villarreal,RealValladolid,4.0,0.0,win
Villarreal_RealValladolid,Villarreal,RealValladolid,4.0,0.0,win
RealValladolid_Villarreal,RealValladolid,Villarreal,0.0,4.0,loss
Barcelona_RayoVallecano,Barcelona,RayoVallecano,0.0,0.0,draw
RayoVallecano_Barcelona,RayoVallecano,Barcelona,0.0,0.0,draw
RayoVallecano_Barcelona,RayoVallecano,Barcelona,0.0,0.0,draw
Barcelona_RayoVallecano,Barcelona,RayoVallecano,0.0,0.0,draw
Cadiz_RealSociedad,Cadiz,RealSociedad,0.0,2.0,loss
RealSociedad_Cadiz,RealSociedad,Cadiz,2.0,0.0,win
RealSociedad_Cadiz,RealSociedad,Cadiz,2.0,0.0,win
Cadiz_RealSociedad,Cadiz,RealSociedad,0.0,2.0,loss
Valencia_GironaFC,Valencia,GironaFC,1.0,1.0,win
GironaFC_Valencia,GironaFC,Valencia,1.0,1.0,loss
GironaFC_Valencia,GironaFC,Valencia,1.0,1.0,loss
Valencia_GironaFC,Valencia,GironaFC,1.0,1.0,win
Almeria_RealMadrid,Almeria,RealMadrid,2.0,3.0,loss
RealMadrid_Almeria,RealMadrid,Almeria,3.0,2.0,win
RealMadrid_Almeria,RealMadrid,Almeria,3.0,2.0,win
Almeria_RealMadrid,Almeria,RealMadrid,2.0,3.0,loss
AthleticClub_Mallorca,AthleticClub,Mallorca,0.0,1.0,draw
Mallorca_AthleticClub,Mallorca,AthleticClub,1.0,0.0,draw
Mallorca_AthleticClub,Mallorca,AthleticClub,1.0,0.0,draw
AthleticClub_Mallorca,AthleticClub,Mallorca,0.0,1.0,draw
Getafe_AtleticoMadrid,Getafe,AtleticoMadrid,0.0,4.0,loss
AtleticoMadrid_Getafe,AtleticoMadrid,Getafe,4.0,0.0,win
AtleticoMadrid_Getafe,AtleticoMadrid,Getafe,4.0,0.0,win
Getafe_AtleticoMadrid,Getafe,AtleticoMadrid,0.0,4.0,loss
RealBetis_Elche,RealBetis,Elche,4.0,0.0,win
Elche_RealBetis,Elche,RealBetis,0.0,4.0,loss
